ROOT,RESERVE,PRIMARY 1,PRIMARY 2,PRIMARY 3,PRIMARY 4,RESERVE 1,RESERVE 2,RESERVE 3,RESERVE 4
חפר,1,חֲפַר II,חֲפַר I,,,,,,
חפשׂ,1,חֲפַשׂ,,,,,,,
חצב,1,חֲצַב,,,,,,,
חצד,1,חֲצַד I,,,,,,,
חצף,1,חֲצַף,,,,,,,
חצץ,1,חֲצַץ,,,,,,,
חקק,1,חֲקַק,,,,,,,
חקר,1,חֲקַר,,,,,,,
חרב,1,חֲרֵב,,,,,,,
חרד,0,חָרֵד,,,,,,,
חרז,1,חֲרַז,,,,,,,
חרט,1,חֲרַט,,,,,,,
חרי,1,חֲרֵי,,,,,,,
חרך,1,חֲרַךְ,,,,,,,
חרם,1,חֲרַם,,,,,,,
חרף,1,חֲרַף,,,,,,,
חרץ,1,חֲרַץ,,,,,,,
חרק,1,חֲרַק,,,,,,,
חרר,1,חֲרַר,חֲרַר ²,חֲרַר ³,חֲרַר ⁴,,,,
חרשׁ,1,חֲרַשׁ,,,,,,,
חשב,1,חֲשֵׁב,,,,,,,
חשד,1,חֲשַׁד,,,,,,,
חשך,1,חֲשַׁךְ,חֲשַׂךְ,,,,,,
חשל,1,חֲשַׁל,חֲשַׂל,,,,,,
חשר,1,חֲשַׁר,,,,,,,
חשש,1,חֲשַׁשׁ,,,,,,,
חתי,1,חֲתֵי,חֲתִי,,,,,,
חתך,1,חֲתַךְ,,,,,,,
חתם,1,חֲתַם,,,,,,,
חתן,1,חֲתַן,,,,,,,
חתר,1,חֲתַר,,,,,,,
טבח,1,טְבַח,,,,,,,
טבי,1,,,,,,,,
טבל,1,טְבַל,טְבַל ²,,,,,,
טבע,1,טְבַע,טְבַע ²,,,,,,
טגן,1,,,,,,,,
טהר,1,טְהֵר,,,,,,,
טוב,1,טוֹב,,,,,,,
טוט,1,טוֹט,,,,,,,
טוי,1,טְוִי I,טְוִי II,,,,,,
טוס,1,טוּס ²,,,,,,,
טוף,1,טוּף,,,,,,,
טחי,1,טְחִי,,,,,,,
טחן,1,טְחַן,,,,,,,
טחר,1,טְחַר,,,,,,,
טלי,1,טְלֵי,,,,,,,
טלל,1,טְלַל I,טְלַל II,,,,,,
טלע,1,טְלַע I,טְלַע II,,,,,,
טמי,1,טְמִי,,,,,,,
טמם,1,טְמַם,,,,,,,
טמן,1,טְמַן,,,,,,,
טמע,1,טְמַע,,,,,,,
טמר,1,טְמַר,,,,,,,
טמשׁ,1,טְמַשׁ,,,,,,,
טנן,1,טְנַן,,,,,,,
טנף,1,טְנַף,,,,,,,
טעי,1,טְעֵי,,,,,,,
טעם,1,טְעַם,,,,,,,
טען,1,טְעַן,טְעַן ²,טְעַן III,,,,,
טפח,1,טְפַח,,,,,,,
טפי,1,טְפֵי,טְפֵי ²,טְפֵי ³,*טְפֵי,,,,
טפל,1,טְפַל,,,,,,,
טפף,1,טְפַף,,,,,,,
טפשׁ,1,טְפֵשׁ,,,,,,,
טרד,1,טְרַד I,טְרַד II,,,,,,
טרח,1,טְרַח I,,,,,,,
טרי,1,טְרִי,,,,,,,
טרס,1,*טְרַס,,,,,,,
טרף,1,טְרַף I,,,,,,,
טרק,1,טְרַק I,טְרַק II,,,,,,
טרשׁ,1,טְרַשׁ I,טְרַשׁ II,,,,,,
טשׁי,1,טְשֵׁי,,,,,,,
יאשׁ,1,יְאַשׁ,,,,,,,
יבב,1,יְבַב,,,,,,,
יבל,1,יְבַל,,,,,,,
יבם,1,יַבֵּם,,,,,,,
יבשׁ,1,יְבֵשׁ,,,,,,,
ידי,1,יְדִי,,,,,,,
ידע,1,יְדַע,,,,,,,
יהב,1,יְהַב,,,,,,,
יהי,1,יְהִי,,,,,,,
יהר,1,יְהַר,,,,,,,
יזף,1,יִזַף,,,,,,,
יחד,1,יְחַד,,,,,,,
יחס,1,יְחַס,,,,,,,
יכח,1,,,,,,,,
יכל,1,יְכִיל,,,,,,,
ילד,1,יְלֵד,,,,,,,
ילל,1,יְלֵל,,,,,,,
ילף,1,יְלֵף,,,,,,,
ימי,1,יְמֵי,,,,,,,
ימן,1,יְמַן,,,,,,,
יני,1,יְנִי I,יְנִי II,,,,,,
ינק,1,יְנַק,,,,,,,
יסף,1,יְסַף,,,,,,,
יעד,1,יְעַד,,,,,,,
יעץ,1,יְעַץ,,,,,,,
יקד,1,יְקַד,,,,,,,
יקר,1,יְקַר,,,,,,,
ירי,1,ירי ²,,,,,,,
ירק,1,יְרַק,יְרַק ²,,,,,,
ירת,1,יְרֵת,,,,,,,
יתב,1,יתֵב,יְתֵב II,,,,,,
יתי,1,אֲתָא,,,,יֵתֵי,,,
יתר,1,יְתַר,,,,,,,
כאב,1,כְּאֵב I,,,,,,,
כבב,1,*כְּבַב,,,,,,,
כבד,1,כְּבַד,,,,,,,
כבי,1,כְּבִי,,,,,,,
כבשׁ,1,כְּבַשׁ,,,,,,,
כהי,1,כְּהִי,,,,,,,
כוי,1,כְּוִי,,,,,,,
כול,1,כּוּל ²,,,,,,,
כון,1,כּוּן ²,,,,,,,
כוץ,1,כְּוֵץ,,,,,,,
כזז,1,*כְּזַז,,,,,,,
כחל,1,כְּחַל I,,,,,,,
כחשׁ,1,כְּחַשׁ,,,,,,,
