ROOT,RESERVE,PRIMARY 1,PRIMARY 2,PRIMARY 3,PRIMARY 4,RESERVE 1,RESERVE 2,RESERVE 3,RESERVE 4
סכן,1,סְכַן,סְכֵן,,,,,,
סכר,1,סְכַר I,סְכַר II,,,,,,
סלק,1,סְלַק,סְלֵק,,,,,,
סלת,1,סְלַת,,,,,,,
סמי,1,סְמֵי,,,,,,,
סמך,1,סְמַךְ I,,,,,,,
סמס,1,סמס,,,,,,,
סמק,1,סְמֵק,,,,,,,
סמר,1,סְמַר I,סְמַר II,,,,,,
סני,1,סְנֵי,,,,,,,
סנף,0,סָנַף,סנף,,,,,,
סעד,1,סְעַד,,,,,,,
סער,1,סְעַר,סְעַר ²,,,,,,
ספג,0,סָפַג,,,,,,,
ספד,1,סְפַד,,,,,,,
ספי,1,סְפֵי,,,,,,,
ספק,1,סְפַק,סְפַק ²,,,,,,
ספר,1,סְפַר,,,,,,,
ספת,1,סְפֵי,,,,,,,
סקב,1,סְקַב,,,,,,,
סקל,1,סְקַל I,,,,,,,
סקר,1,סְקַר I,סְקַר II,,,,,,
סרב,1,סְרַב I,סְרַב II,,,,,,
סרג,1,סְרַג,,,,,,,
סרח,1,סְרַח,סְרַח ²,סְרַח ³,,,,,
סרט,1,סְרַט,,,,,,,
סרי,1,סְרֵי II,,,,,,,
סרך,1,סְרַךְ I,סְרַךְ II,,,,,,
סרס,1,סְרַס,,,,,,,
סרק,1,סְרַק,,,,,,,
סתם,1,סְתַם,,,,,,,
סתר,1,סְתַר,סְתַר ²,,,,,,
עבד,1,עֲבַד I,,,,,,,
עבט,1,עֲבַט,,,,,,,
עבר,1,עֲבַר,,,,,,,
עגל,1,עֲגַל I,,,,,,,
עגן,1,עֲגַן,,,,,,,
עדי,1,עֲדֵי,עֲדֵי ²,,,,,,
עדף,1,עֲדַף,,,,,,,
עוז,1,עוּז,,,,,,,
עוי,1,עֲוֵי I,עֲוֵי II,,,,,,
עוץ,1,עוּץ,,,,,,,
עוק,1,עוּק,עוּק ²,,,,,,
עור,1,עוּר,עַוֵּר,,,,,,
עות,1,*עוּת,עֲוַת,,,,,,
עזל,1,עֲזַל,,,,,,,
עזק,1,עֲזָק,,,,,,,
עטף,1,עֲטַף I,*עֲטַף II,,,,,,
עטר,1,עַטַר II,עֲטַר III,,,,,,
עכב,1,עֲכַב,,,,,,,
עכל,1,עֲכַל,,,,,,,
עכר,1,עֲכַר,,,,,,,
עלי,1,עֲלֵי,,,,,,,
עלל,1,עֲלַל I,,,,,,,
עלם,1,עֲלֵם,,,,,,,
עלף,1,עֲלַף,,,,,,,
עמד,1,*עֲמַד,,,,,,,
עמי,1,עֲמֵי,,,,,,,
עמל,1,עֲמַל I,,,,,,,
עמץ,1,עֲמַץ,,,,,,,
עמק,1,עֲמַק,,,,,,,
ענב,1,עֲנַב,,,,,,,
ענג,1,עֲנַג,,,,,,,
עני,1,עֲנֵי,עֲנֵי ²,,,,,,
ענש,1,עֲנַשׁ,,,,,,,
עסי,1,עֲסֵי,,,,,,,
עסק,1,עֲסֵק,,,,,,,
עפף,1,עֲפַף,,,,,,,
עפץ,1,עֲפַץ,,,,,,,
עפשׁ,1,עֲפַשׁ,,,,,,,
עצב,1,עֲצַב,,,,,,,
עצל,1,עֲצַל,,,,,,,
עצר,1,עֲצַר,,,,,,,
עקב,1,עֲקַב,,,,,,,
עקם,1,עֲקַם,,,,,,,
עקס,1,עֲקַס,,,,,,,
עקץ,1,עֲקַץ,,,,,,,
עקר,1,עֲקַר I,עֲקַר II,,,,,,
ערב,1,עֲרַב,עֲרַב ²,,,,,,
ערי,1,עֲרֵי,,,,,,,
ערך,1,עֲרַךְ,,,,,,,
ערם,1,עֲרַם,,,,,,,
ערף,1,עֲרַף,,,,,,,
ערק,1,עֲרַק,,,,,,,
עשׂי,1,עֲשֵׂי,,,,,,,
עשׁף,1,,,,,,,,
עשׁק,1,עֲשַׁק,,,,,,,
עשׁר,1,עֲשַׁר,עֲשַׂר II,,,,,,
עתר,1,עֲתַר,,,,,,,
פגל,1,פְּגַל,,,,,,,
פגם,1,פְּגַם,,,,,,,
פגע,1,פְּגַע I,,,,,,,
פגר,1,פְּגַר I,פְּגַר II,,,,,,
פדי,1,פְּדֵי,,,,,,,
פדע,1,פְּדַע I,,,,,,,
פוג,1,פּוּג ²,,,,,,,
פוח,1,פּוּחַ ²,,,,,,,
פול,1,נְפַל,,,,,,,
פושׁ,1,פּוּשׁ ²,,,,,,,
פחד,1,פְּחַד,,,,,,,
פחז,0,פָּחַז,,,,,,,
פחי,1,פְּחֵי,,,,,,,
פחת,1,פְּחַת,,,,,,,
פטי,1,פְּטֵי,,,,,,,
פטם,1,פְּטַם,,,,,,,
פטר,1,פְּטַר,,,,,,,
פיס,1,פִּיס ²,,,,,,,
פכח,1,פְּכַח,,,,,,,
פכר,1,פְּכַר,,,,,,,
פלג,1,פְּלַג I,,,,,,,
פלח,1,פְּלַח,,,,,,,
פלט,1,פְּלַט,,,,,,,
פלי,1,פְּלֵי,,,,,,,
פלך,1,פְּלַךְ,,,,,,,
פלס,1,פְּלַס,,,,,,,
פלק,1,*פְּלַק,,,,,,,
פני,1,פְּנֵי I,,,,,,,
פנק,1,פְּנַק,,,,,,,
פסד,1,פְּסַד,,,,,,,
פסח,1,פסח,,,,,,,
פסי,1,פְּסֵי,פְּסֵי ²,,,,,,
פסל,1,פְּסַל,,,,,,,
פסס,1,פְּסַס,,,,,,,
פסע,1,פְּסַע,,,,,,,
פסק,1,פְּסַק,,,,,,,
פעי,1,פְּעֵי,,,,,,,
פער,1,פְּעַר,,,,,,,
פצח,1,פְּצַח,,,,,,,
פצי,1,פְּצֵי,,,,,,,
פצל,1,פְּצַל,,,,,,,
פצע,1,פְּצַע,,,,,,,
פקד,1,פְּקַד,,,,,,,
פקח,1,פְּקַח I,,,,,,,
פקי,1,,,,,,,,
פקס,1,פְּקַס,,,,,,,
פקע,1,פְּקַע,,,,,,,
פקר,1,פְּקַר,,,,,,,
פרד,1,פְּרַד,,,,,,,
פרח,1,פְּרַח I,,,,,,,
פרט,1,פְּרַט,,,,,,,
פרי,1,פְּרֵי,,,,,,,
פרך,1,פְּרַךְ I,פְּרַךְ II,,,,,,
פרם,1,פְּרַם,,,,,,,
פרס,1,פְּרַס I,,,,,,,
פרע,1,פְּרַע I,פְּרַע II,,,,,,
פרץ,1,פְּרַץ,,,,,,,
פרק,1,פְּרַק,,,,,,,
פרר,1,פְּרַר,,,,,,,
פרשׂ,1,פְּרַס I,,,,,,,
פרשׁ,1,פְּרַשׁ,,,,,,,
פרת,1,פְּרַת I,,,,,,,
פשׁח,1,פְּשַׁח,,,,,,,
פשׁט,1,פְּשַׁט,,,,,,,
פשׁי,1,פּוּשׁ,,,,,,,
פשׁל,0,פָּשַׁל,,,,,,,
פשע,1,פְּשַׁע,,,,,,,
פשר,1,פְּשַׁר I,,,,,,,
פתח,1,פְּתַח,,,,,,,
פתי,1,פְּתֵי I,,,,,,,
פתך,1,פְּתַךְ,,,,,,,
פתק,1,פְּתַק I,פְּתַק II,,,,,,
פתר,1,פְּתַר I,,,,,,,
פתת,1,*פְּתַת,,,,,,,
צבי,1,צְבֵי,,,,,,,
צבע,1,צְבַע,צְבַע ²,,,,,,
צבת,1,צְבַת,,,,,,,
צדד,1,צְדַד,,,,,,,
צדק,1,צְדַק,,,,,,,
צהל,1,צְהַל,,,,,,,
צהר,1,צְהַר,,,,,,,
צוב,1,נְצַב,,,,,,,
צוד,1,צוּד ²,,,,,,,
צוח,1,צְיַוח,,,,,,,
צוי,1,צְוֵי I,צְוֵי II,,,,,,
צוץ,1,צְוַץ,צִיץ,,,צוּץ ²,,,
צור,1,צוּר,,,,,,,
צות,1,צוּת ²,צְוַת,,,,,,
צלב,1,צְלַב,,,,,,,
צלח,1,צְלַח,,,,,,,
צלי,1,צְלֵי,צְלֵי ²,,,,,,
צלל,1,צְלַל,,,,,,,
צלם,1,צְלַם,,,,,,,
צלק,1,צְלַק,,,,,,,
צמד,1,צְמַד,,,,,,,
צמח,1,צְמַח,,,,,,,
צמק,1,צְמַק,,,,,,,
צמר,1,צְמַר,,,,,,,
צמת,1,צְמַת,,,,,,,
צנן,1,צְנַן,,,,,,,
צנע,1,צְנַע,,,,,,,
צנף,1,צְנֵף,,,,,,,
צעק,1,צְעֵק,,,,,,,
צער,1,צְעֵר,,,,,,,
צפי,1,צְפֵי,,,,,,,
צרב,1,צְרַב,,,,,,,
צרי,1,צְרֵי I,צְרֵי II,,,,,,
צרך,1,צְרַךְ,,,,,,,
צרע,1,צְרַע,,,,,,,
צרף,1,צְרַף I,,,,,,,
צרר,1,צְרַר,צְרַר ²,,,,,,
צתת,1,צְתַת,,,,,,,
קבל,1,קְבַל,קְבַל ²,קְבַל III,,,,,
קבס,1,*קְבַס,,,,,,,
קבע,1,קְבַע,קְבַע ²,,,,,,
קבר,1,קְבַר,,,,,,,
קדד,1,קְדַד,,,,,,,
קדח,1,קְדַח,,,,,,,
קדי,1,*קְדֵי,,,,,,,
קדם,1,קְדַם,,,,,,,
קדר,1,קְדַר,קְדַר ²,,,,,,
קדשׁ,1,קְדַשׁ,,,,,,,
קהי,1,קְהֵי,,,,,,,
קוט,1,קוּט ²,,,,,,,
קוי,0,קוי,,,,,,,
קום,1,קוּם ²,,,,,,,
קטט,1,קְטַט,,,,,,,
קטי,1,קְטָא I,,,,,,,
קטל,1,קְטַל,,,,,,,
קטם,1,קְטַם I,קְטַם II,,,,,,
קטע,1,קְטַע,,,,,,,
קטף,1,קְטַף I,,,,,,,
קטר,1,קְטַר,קְטַר ²,,,,,,
קלד,1,קְלַד,,,,,,,
קלט,1,קְלַט,,,,,,,
קלי,1,קְלֵי,קְלֵי ²,,,,,,
קלל,1,קְלַל,,,,,,,
קלס,1,קְלַס,,,,,,,
קלע,1,קְלַע,קְלַע ²,,,,,,
קלף,1,קְלַף,,,,,,,
קלשׁ,1,קְלַשׁ,,,,,,,
קמח,1,קְמַח,,,,,,,
קמט,1,קְמַט,,,,,,,
קמע,1,קָמַע,,,,,,,
קמץ,1,קְמַץ,,,,,,,
קנב,1,קְנַב,,,,,,,
קנח,1,קְנַח,,,,,,,
קני,1,קְנֵי,קְנֵי ²,,,,,,
קנם,1,קְנַם,,,,,,,
קנס,1,קְנַס,,,,,,,
קסם,1,קְסַם I,,,,,,,
קפד,1,קְפַד,,,,,,,
קפח,1,קְפַח,,,,,,,
קפי,1,קְפֵי,,,,,,,
קפל,1,קְפַל,קְפַל ²,,,,,,
קפץ,1,קְפַץ,,,,,,,
קצי,1,קְצֵי,,,,,,,
קצע,1,קְצַע,,,,,,,
קצץ,1,קְצַץ,,,,,,,
קצר,1,קְצַר,,,,,,,
קרב,1,קְרֵב,,,,,,,
קרח,1,קְרַח I,,,,,,,
קרי,1,קְרֵי I,קְרֵי II,,,קְרִי,,,
קרם,1,קְרַם,,,,,,,
קרס,1,קְרַס,,,,,,,
קרע,1,קְרַע,,,,,,,
קרץ,1,קְרַץ I,קְרַץ II,,,,,,
קרר,1,קְרַר ²,קְרַר,,,,,,
קרשׁ,1,קְרַשׁ,,,,,,,
קשׁב,1,קְשַׁב,,,,,,,
קשׁט,1,קְשַׁט,,,,,,,
קשׁי,1,קְשֵׁי,,,,,,,
קשׁשׁ,1,קְשַׁשׁ II,,,,,,,
רבי,1,רְבֵי,*רְבֵי,רְבֵי ²,,,,,
רבל,1,רְבַל,,,,,,,
רבע,1,רְבַע,,,,,,,
רבץ,1,רְבַץ,,,,,,,
רגז,1,רְגַז I,,,,,,,
רגל,1,רְגַל,,,,,,,
רגם,1,רְגַם,,,,,,,
רגש,1,רְגַשׁ,,,,,,,
רדד,1,רְדַד,,,,,,,
רדי,1,רְדֵי,רְדֵי ²,רְדִי,,,,,
רדף,1,רְדַף,,,,,,,
רהט,1,רְהַט,,,,,,,
רוח,1,רְוַוח,,,,,,,
רוי,1,רְוֵי,,,,,,,
רום,1,רוּם ²,,,,,,,
רזי,1,רזֵי,,,,,,,
רזם,1,רזם,,,,,,,
רחם,1,רְחֵם,,,,,,,
רחץ,1,רְחֵץ,,,,,,,
רחק,1,רִחֵק,,,,,,,
רחשׁ,1,רְחַשׁ,,,,,,,
רטב,1,רְטַב I,,,,,,,
רטן,1,רְטַן,,,,,,,
ריח,1,רִיחַ ²,,,,,,,
ריק,1,רִיק,,,,,,,
רכב,1,רְכַב,,,,,,,
רכך,1,רְכַךְ,,,,,,,
רכן,1,רְכַן,רְכַן ²,,,,,,
רכס,1,רְכַס,,,,,,,
רמז,1,רְמַז,,,,,,,
רמי,1,רְמֵי,,,,,,,
רמס,1,,,,,,,,
רמץ,1,רְמַץ I,רְמַץ II,,,,,,
רנן,1,רְנַן,,,,,,,
רסס,1,רְסַס,,,,,,,
רעי,1,רְעֵי,רְעֵי ²,,,,,,
רעם,1,רְעַם I,רְעַם II,,,,,,
רעע,1,רְעַע,,,,,,,
רפט,1,רְפַט,,,,,,,
רפי,1,רְפֵי,,,,,,,
רפס,1,רְפַס,,,,,,,
רפק,1,רְפַק,,,,,,,
רפשׂ,1,רְפַשׂ I,,,,,,,
רפשׁ,1,*רְפַשׁ,,,,,,,
רפת,1,,,,,,,,
רצי,1,רְצֵי,,,,,,,
רצף,1,רְצַף,,,,,,,
רקב,1,רְקֵב,,,,,,,
רקד,1,רְקַד,,,,,,,
רקע,1,רְקַע,,,,,,,
רקק,1,רְקַק,,,,,,,
רשׁי,1,רְשֵׁי,,,,,,,
רשׁל,1,רְשֵׁל,,,,,,,
רשׁם,1,רְשַׁם I,,,,,,,
רשׁע,1,רְשַׁע I,,,,,,,
רתח,1,רְתַח,,,,,,,
רתע,1,רְתַע,,,,,,,
רתת,1,רְתֵת,,,,,,,
שׁאל,1,שְׁאַל,,,,,,,
שׁבב,1,,,,,,,,
שבח,1,שְׁבַח I,,,,,,,
שבט,1,שְׁבַט I,,,,,,,
שׁבי,1,שְׁבֵי,,,,,,,
שׁבע,1,שְׁבַע II,,,,,,,
שׂבע,1,שְׂבַע,,,,,,,
שׁבק,1,שְׁבַק,,,,,,,
שׁבשׁ,1,שְׁבַשׁ,,,,,,,
שׁבת,1,שְׁבַת,,,,,,,
שׁגח,1,שְׁגַח,,,,,,,
שׁגי,1,שְׁגֵי,,,,,,,
שׁגר,1,שְׁגַר I,שְׁגַר II,,,,,,
שׁגשׁ,1,שְׁגַשׁ,,,,,,,
שׂגשׂ,1,שְׂגַשׂ,,,,,,,
שׁדי,1,שְׁדֵי,,,,,,,
שׁדך,1,שְׁדַךְ,,,,,,,
שׁדל,1,שְׁדַל,,,,,,,
שׁדף,1,שְׁדַף,,,,,,,
שׁדר,1,שְׁדַר II,שְׁדַר I,,,,,,
שׁהי,1,שְׁהֵי,,,,,,,
שוב,1,,,,,,,,
שׁוט,1,שׁוּט,שׁוּט ³,שׁוּט ²,,,,,
שׁוי,1,שְׁוֵי,,,,,,,
שׁוך,1,שׁוֹךְ,,,,,,,
שׁול,1,,,,,,,,
שׂום,1,שׂוּם ²,,,,,,,
שׁום,1,שׁוּם,,,,,,,
שׁוע,1,שׁוּעַ ²,,,,,,,
שׁוף,1,שׁוּף ²,ש,,,,,,
שׁור,1,שְׁוַר,,,,,,,
שׁזר,1,שְׁזַר,,,,,,,
שׁחד,1,שְׁחַד,,,,,,,
שׁחט,1,שְׁחַט,,,,,,,
שׁחי,1,שְׁחֵי II,שְׁחֵי I,,,,,,
שׂחי,1,שְׂחֵי,,,,,,,
שׁחל,1,שְׁחַל,,,,,,,
שׁחן,1,שְׁחַן,,,,,,,
שׁחף,1,שְׁחַף I,שְׁחַף II,,,,,,
שׁחק,1,שְׁחַק,,,,,,,
שׁחר,1,שְׁחַר,שְׁחַר ²,שְׁחַר ³,שְׁחַר IV,,,,
שׁטח,1,שְׁטַח,,,,,,,
שׂטי,1,שְׂטֵי,,,,,,,
שׁטי,1,שְׁטֵי,,,,,,,
שׁטף,1,שְׁטֵף,,,,,,,
שׂטר,1,*שְׂטַר,,,,,,,
שׁטר,1,שְׁטַר,,,,,,,
שׁכב,1,שְׁכֵב,,,,,,,
שׁכח,1,שְׁכַח,שְׁכַח II,,,,,,
שׁכן,1,שְׁכַן,,,,,,,
שׁכר,1,שְׁכַר,,,,,,,
שׁלב,1,שְׁלַב,,,,,,,
שׁלח,1,שְׁלַח,,,,,,,
שׁלט,1,שְׁלַט,,,,,,,
שׁלי,1,שְׁלֵי ²,שְׁלֵי,,,,,,
שׁלל,0,שָׁלָל I,שָׁלָל II,,,,,,
שׁלם,1,שִׁלֵם,,,,,,,
שׁלף,1,שְׁלַף,,,,,,,
שׁלק,1,שְׁלַק,,,,,,,
שׁמד,1,שְׁמַד,,,,,,,
שׁמט,1,שְׁמַט,,,,,,,
שׁמי,1,,,,,,,,
שׁמן,1,שְׁמֵן,,,,,,,
שׁמע,1,שְׁמַע I,,,,,,,
שׁמר,1,שְׁמַר,,,,,,,
שׁמש,1,שְׁמַשׁ,,,,,,,
שׁמת,1,שְׁמַת,,,,,,,
שׁני,1,שְׁנֵי,,,,,,,
שׂני,1,שְׂנֵי,,,,,,,
שׁנץ,1,שְׁנַץ,,,,,,,
שׁנק,1,שְׁנַק,,,,,,,
שׁסי,1,שְׁסֵי,,,,,,,
שׁעי,1,שְׁעֵי,,,,,,,
שׁעל,1,,,,,,,,
שׁעע,1,שְׁעַע,,,,,,,
שׁער,1,שְׁעַר,,,,,,,
שׂער,1,שְׂעַר,,,,,,,
שׁפד,1,שְׁפַד,,,,,,,
שׁפי,1,שְׁפֵי,שְׁפֵי ²,שְׁפֵי ³,,,,,
שׁפך,1,שְׁפַךְ,,,,,,,
שׁפל,1,שְׁפַל,,,,,,,
שׁפע,1,שְׁפַע,,,,,,,
שׁפף,1,שְׁפַף,,,,,,,
שׁפץ,1,שְׁפַץ,,,,,,,
שׁפר,1,שְׁפַר,,,,,,,
שׁקד,1,שְׁקַד,,,,,,,
שׁקט,1,שְׁקַט,,,,,,,
שׁקי,1,שקי ²,,,,,,,
שׁקל,1,שְׁקַל,,,,,,,
שׁקע,1,שְׁקַע,,,,,,,
שׁקף,1,שְׁקַף,,,,,,,
שׁקר,1,שְׁקַר I,,,,,,,
שׂרג,1,שְׂרַג,,,,,,,
שׁרג,1,שְׁרַג,,,,,,,
שׁרי,1,שְׁרֵי,,,,,,,
שׁרץ,0,שָׁרַץ,,,,,,,
שׁרק,1,שְׁרַק,שְׁרַק II,שְׁרַק III,,,,,
שׁרר,1,שְׁרַר,,,,,,,
שׁרשׁ,1,שְׁרַשׁ,,,,,,,
שׁתי,1,שְׁתֵי,שְׁתֵי ²,,,,,,
שׁתך,1,שָׁתַךְ ²,,,,,,,
שׁתל,1,שְׁתַל,,,,,,,
שׁתן,1,שְׁתַן,,,,,,,
שׁתף,1,שְׁתַף,,,,,,,
שׁתק,1,שְׁתֵק,,,,,,,
שׁהד,0,שָׂהֵד,,,,,,,
שׂמח,0,שָׂמַח,,,,,,,
שרף,1,שְׂרַף ²,שְׂרַף,,,,,,
תאם,0,תָּאַם,,,,,,,
תבל,1,תְּבַל,,,,,,,
תבן,1,תְּבַן,,,,,,,
תבע,1,תְּבַע,,,,,,,
תבר,1,תְּבַר,,,,,,,
תהי,1,תְּהֵי,,,,,,,
תוב,1,תּוּב I,,,,,,,
תוה,1,תְּוַהּ,,,,,,,
תור,1,תּוּר II,,,,,,,
תחל,1,תְּחַל,,,,,,,
תלח,1,תְּלַח,,,,,,,
תלי,1,תְּלֵי,,,,,,,
תלע,1,תְּלַע I,תְּלַע II,,,,,,
תלשׁ,1,תְּלַשׁ,,,,,,,
תלת,1,תַּלֵּת,,,,,,,
תמם,0,תָּמַם,,,,,,,
תנח,1,תְּנַח,,,,,,,
תני,1,תְּנֵי,תְּנֵי II,,,,,,
תער,1,תְּעַר,,,,,,,
תפח,1,תְּפַח I,תְּפַח II,,,,,,
תפס,1,תְּפַס,תְּפַס II,,,,,,
תפף,1,תְּפַף II,תְּפַף I,,,,,,
תפר,1,תְּפַר,,,,,,,
תפשׂ,1,תְּפַס,,,,,,,
תקל,1,תְּקַל II,תְּקַל I,,,,,,
תקן,1,תְּקֵן,,,,,,,
תקע,1,תְּקַע,,,,,,,
תקף,1,תְּקַף,,,,,,,
תרג,0,תָּרַג,,,,,,,
תרח,1,תְּרַח,,,,,,,
תרי,1,תְּרֵי,תְּרֵי ²,,,,,,
תרך,1,תְּרַךְ,,,,,,,
תרם,1,תְּרַם,,,,,,,
תרס,1,תְּרַס,,,,,,,
תרץ,1,תְּרַץ,,,,,,,
תתי,1,תְּתֵי,,,,,,,
