WORD    HEBREW     ARAMAIC
רַבִּי
אֶלָּא
הוּא
לֹא
אוֹ
כִּי
עַד
וְלֹא
מִן
אֵין
לִי
מִשּׁוּם
מַאֲכַל	[0.56915974 0.43084026]
הַקְּבוּעָה	[0.0125948 0.9874052]
בְּפִי	[0.10473068 0.89526932]
חֲסָדִים	[0.04978708 0.95021292]
סָתַר	[0.81385948 0.18614052]
לְאַרְבַּע	[0.5431842 0.4568158]
לְרַבָּן	[0.85445678 0.14554322]
מַקִּיף	[0.35324395 0.64675605]
אַכְסַדְרָה	[0.04980426 0.95019574]
בְּחָמֵשׁ	[0.10040246 0.89959754]
בְּגוּפוֹ	[0.15169823 0.84830177]
לַשּׁוּק	[0.39886657 0.60113343]
גָמַר	[0.04977783 0.95022217]
מִבָּבֶל	[0.01261986 0.98738014]
עֲצֶרֶת	[0.00500083 0.99499917]
שָׁלְחוּ	[0.04979899 0.95020101]
גַּבָּן	[0.57981608 0.42018392]
בְּתַמּוּז	[0.1005858 0.8994142]
בְּסוּרְיָא	[0.96193192 0.03806808]
נָטַע	[0.34363849 0.65636151]
בַּחֲמִשִּׁים	[0.04767261 0.95232739]
חֲלִילָה	[0.08171353 0.91828647]
מְעַכֶּבֶת	[0.0109258 0.9890742]
הִפִּילָה	[0.01400833 0.98599167]
קְצִיר	[0.53001751 0.46998249]
דִינָרִין	[0.14230477 0.85769523]
הָיִינוּ	[0.62458754 0.37541246]
תְּמַהּ	[0.87243783 0.12756217]
אֲחִי	[0.5 0.5]
צַדִּיקִים	[0.7889586 0.2110414]
שָׁנוּ	[0.09501639 0.90498361]
בֵּיתִי	[0.19871484 0.80128516]
וְיוֹחָנָן	[0.18430262 0.81569738]
מֵאַבָּא	[0.96087236 0.03912764]
יוֹשְׁבוֹת	[0.09606368 0.90393632]
וְסִפְרֵי	[0.74479259 0.25520741]
פִּילָא	[0.76590903 0.23409097]
בָּנֶיךָ	[0.14885273 0.85114727]
יוֹנֵי	[0.14977009 0.85022991]
קְטָלָא	[0.96082411 0.03917589]
מִשְׁמָע	[0.40321397 0.59678603]
תְּלוּיִין	[0.2607238 0.7392762]
וְקִבְּלָהּ	[0.38240605 0.61759395]
חֲבִיבִין	[0.34551705 0.65448295]
מִשְׁקָל	[0.73945708 0.26054292]
וְרֵאשִׁית	[0.43382257 0.56617743]
וּלְבֵית	[0.78876439 0.21123561]
גְּזֵרָה	[0.22856046 0.77143954]
שֶׁתָּפוּג	[0.07621634 0.92378366]
יֵשֵׁב	[0.03562486 0.96437514]
צַוָּאר	[0.95234363 0.04765637]
גַּד	[0.90651073 0.09348927]
אֵיזוֹהִי	[0.44243126 0.55756874]
הָאֲרִי	[0.66188149 0.33811851]
מָתַי	[0.84828874 0.15171126]
גָּלִיל	[0.0646446 0.9353554]
וְלַיְלָה	[0.40370534 0.59629466]
וְאוֹמְרִין	[0.24553861 0.75446139]
וְהוֹצִיאוֹ	[0.04983464 0.95016536]
הוֹצִיאוּהוּ	[0.27957702 0.72042298]
מֹשֶׁה	[0.00577597 0.99422403]
וְתֵשַׁע	[0.12959092 0.87040908]
וּבְמַרְפְּקוֹ	[0.51261577 0.48738423]
בְּטַבְלָא	[0.97096326 0.02903674]
תְּשַׁמֵּשׁ	[0.45022671 0.54977329]
שָׁתוּ	[0.17062625 0.82937375]
מְשַׁלְשֵׁל	[0.53012122 0.46987878]
יִרְתוּן	[0.03415221 0.96584779]
מָלַח	[0.01789486 0.98210514]
בְּמִצְוָה	[0.01444859 0.98555141]
כְּשׁוּת	[0.4096074 0.5903926]
וּבִכְפִיפָה	[0.04940873 0.95059127]
יָצְתָה	[0.02030246 0.97969754]
שֶׁלֹא	[0.00416055 0.99583945]
טָב	[0.48188616 0.51811384]
תּוֹכֵחָה	[0.05179684 0.94820316]
בְּחֶבֶר	[0.03407216 0.96592784]
בִּבְשַׂר	[0.11239176 0.88760824]
הַדָּר	[0.0211378 0.9788622]
חָמוּר	[0.01551911 0.98448089]
בִּכְדֵי	[0.44707763 0.55292237]
וְנָגְעוּ	[0.11724244 0.88275756]
אֲבוֹתֵיכֶם	[0.04056257 0.95943743]
וּמִקְצָת	[0.04689064 0.95310936]
וְהֵיכָן	[0.29580654 0.70419346]
קְרֵבָה	[0.17856105 0.82143895]
תְּנַאי	[0.97452007 0.02547993]
לְתַחַת	[0.08283982 0.91716018]
גִּידִין	[0.06880238 0.93119762]
כְּרַבִּי	[0.92177621 0.07822379]
חָלָה	[0.01616892 0.98383108]
וּגְמִילוּת	[0.08490034 0.91509966]
גָדֵר	[0.06005976 0.93994024]
וּמֹשֶׁה	[0.0150942 0.9849058]
לִכְלָבִים	[0.08808649 0.91191351]
וְסוֹפֵר	[0.03060657 0.96939343]
דִּינַאי	[0.97071795 0.02928205]
וְעָלֶיךָ	[0.04970699 0.95029301]
סַמָּנִין	[0.0639873 0.9360127]
הַנְּסָרִים	[0.01107434 0.98892566]
חַם	[0.52866226 0.47133774]
אַרְזָא	[0.9696658 0.0303342]
כָּלֵה	[0.04360837 0.95639163]
אֲלֵיהֶם	[0.04978804 0.95021196]
וְכָלֵב	[0.06338977 0.93661023]
מַגָּל	[0.05597524 0.94402476]
סָתַם	[0.47566025 0.52433975]
גוּפֵי	[0.87621643 0.12378357]
הַחֲלוּקִין	[0.04577227 0.95422773]
בְּסֵפֶר	[0.02284413 0.97715587]
וְשִׁמְעוֹן
הִוא	[0.92562529 0.07437471]
