71nl 2ds 700gp 10sm	רגלוהי דינקא٠
03nl 2ds 700gp 10sm	"מעילה" הוא דליכא٠
13nl 2ds 700gp 10sm	הא איסור׳ איכא٠ ואמאי٠ הא ממונא "דכהן" הוא٠
23nl 2ds 700gp 10sm	הא לא קשיא٠ משום דנסיב רישא "מועלי׳"٠ נסיב סיפ׳ "אין מועלין"٠
83nl 2ds 700gp 10sm	"מעיל׳" הוא דליכא٠ הא איסור׳ מיהא איכא٠ ואמאי٠ הא
93nl 2ds 700gp 10sm	ממונא "דבעלים" הוא٠
10nl 1ds 800gp 10sm	"לאכיל׳" הוא דלא מרצה٠
80nl 1ds 800gp 10sm	"ליפסל" אין٠ אבל לטמויי לא٠
50nl 2ds 800gp 10sm	שוינהו רבנ׳ "לטבול"
60nl 2ds 800gp 10sm	"יום ראשון" לר׳ מאיר "כאוכל שני" לרבנ׳ כיון דטבל
70nl 2ds 800gp 10sm	קלש "טומאתו٠ פסול" משוי٠ "טמא" לא משוי٠
80nl 2ds 800gp 10sm	"מעילה" הוא דליכא
90nl 2ds 800gp 10sm	אבל איסורא איכא٠ ואמאי٠ הא ממונא "דכהנים" הוא٠
30nl 1ds 900gp 10sm	התם כת׳ "והנותרת" קרא יתירא٠
60nl 1ds 900gp 10sm	מיתיב אבוה דר׳ אבין٠
80nl 1ds 900gp 10sm	הוא מותיב לה והוא מפרק לה٠
43nl 1ds 900gp 10sm	כיון דצריך "לבגדי כהונה" בקדושתיה קאי٠
40nl 2ds 900gp 10sm	שניא
50nl 2ds 900gp 10sm	"גחלת" דאית בה מששא٠ איכא דא׳ ל{{ך}}^ה^
60nl 2ds 900gp 10sm	להך גיסא٠ טעמ׳ משום "גחלת"٠ דאית בה
70nl 2ds 900gp 10sm	מששא٠ הא "אפר" דלית בה מששא٠
01nl 2ds 900gp 10sm	הקאתי
11nl 2ds 900gp 10sm	לאשמועינן "דאפיל׳ גחלת" דאית בה מששא٠
21nl 2ds 900gp 10sm	כי פקעא "מעל גבי המזב׳ לא יחזיר"٠
81nl 2ds 900gp 10sm	מאי ניהי٠
82nl 2ds 900gp 10sm	הא גופא קשיא٠
03nl 2ds 900gp 10sm	ולא שנא היכא דאיכפור
13nl 2ds 900gp 10sm	"בעלים"٠ ולא שנא היכא דלא איכפור "בעלים"٠
10nl 1ds 010gp 10sm	רישא ר׳ שמע׳ וסיפא רבנ׳٠
60nl 1ds 010gp 10sm	מאי קמפסיד٠
90nl 1ds 010gp 10sm	"אימורי קדשי׳ קלי׳" איכא "מצוה" להפוכי בצינורא٠ קמ׳ל דלא٠
11nl 1ds 010gp 10sm	הני מילי דאיתידע ליה קמי "כפרה"٠
30nl 1ds 110gp 10sm	מאי שנא רישא דלא קמיפליג٠
40nl 1ds 110gp 10sm	ומאי שנא סיפא דקמיפלג٠ רישא
50nl 1ds 110gp 10sm	פסיקא ליה٠ סיפ׳ לא פסיק׳ ליה٠ הא תנא ליה
60nl 1ds 110gp 10sm	גבי "תמורה"٠
51nl 2ds 110gp 10sm	תרי מיעוטי {{ב}}^כ^תיבי٠
71nl 2ds 110gp 10sm	הני אין٠ מידי אחרינ׳ לא٠
03nl 2ds 110gp 10sm	דאי קלט٠
23nl 2ds 110gp 10sm	דאי קלט٠ והא קרא קנסיב לה٠
33nl 2ds 110gp 10sm	אסמכתא٠
71nl 1ds 210gp 10sm	יתיב רבא
81nl 1ds 210gp 10sm	וקא׳ לשמעתא٠ א׳ל רב חסד׳٠ מאן שמע
91nl 1ds 210gp 10sm	לך ולר׳ יוחנ׳ רבך٠
02nl 1ds 210gp 10sm	א׳ל٠ ותיקשי לך מתנית׳٠
32nl 1ds 210gp 10sm	אלא מודינא לך דאיכא "מעיל׳" מדרבנ׳٠
42nl 1ds 210gp 10sm	וקשיא לי٠ מי איכא דמיעיקרא לא אית
52nl 1ds 210gp 10sm	ביה "מעיל׳"٠ ולבסוף אית ביה "מעיל׳"٠
