מְעִילָה,"('R', 'NN')","('מְעִילָה', 'NN')","('מְעִיל', 'NN')","('עִלָּה', 'NN')"
אֲבָל,"('R', 'CC')","('אֲבָל', 'CC')","('אֵבֶל', 'NN')","('אָבֵל', 'שֵם')"
שְׁחָטָן,"('R', 'NN')","('שָׁחַט', 'VB')",,
בַּיּוֹם,"('R', 'NN')","('יוֹם', 'NN')",,
וְזָרַק,"('R', 'VB')","('זָרַק', 'VB')",,
דָּמָן,"('R', 'NN')","('דָּם', 'NN')",,
בַּלַּיְלָה,"('R', 'NN')","('בְּלִילָה', 'NN')","('לַיְלָה', 'NN')","('לַיִל', 'NN')"
הוֹאִיל,"('R', 'CC')","('הוֹאִיל', 'VB')","('הוֹאִיל', 'CC')",
וְלָאו,A,לָאו,,
זְמַן,"('R', 'NN')","('זְמַן', 'NN')",,
הַקְרָבָה,"('R', 'NN')","('הַקְרָבָה', 'NN')",,
הוּא,A,הוּא,,
כְּמַאן,A,כְּמַאן,מַאן,
דְּחַנְקִינּוּן,A,חַנְקִנּוּן,,
דָּמֵי,A,דָּמֵי,,
וְלָא,A,לָא,,
אִית,A,אִית,,
בְּהוּ,"('A', 'yyDOT')","('בָּהָה', 'VB')",,
מְעִילָה,"('R', 'NN')","('מְעִילָה', 'NN')","('מְעִיל', 'NN')","('עִלָּה', 'NN')"
קָמַשְׁמַע,A,מַשְׁמַע,,
לַן,A,לַן,,
,,,,
חוּץ,"('R', 'RB')","('חוּץ', 'NN')","('חוּץ', 'RB')","('חוּץ', 'Prefix')"
לִזְמַנּוֹ,"('R', 'NN')","('זְמַן', 'NN')",,
וְחוּץ,"('R', 'NN')","('חוּץ', 'NN')","('חוּץ', 'RB')","('חוּץ', 'Prefix')"
לִמְקוֹמוֹ,"('R', 'NN')","('מָקוֹם', 'NN')",,
לְמַאי,A,מַאי,,
חֲזוּ,A,חֲזוּ,,
,,,,
הוֹאִיל,"('R', 'CC')","('הוֹאִיל', 'VB')","('הוֹאִיל', 'CC')",
וּמְרַצִּין,R,,,
לְפִיגּוּלִין,"('R', 'NN')","('פִּגּוּל', 'NN')",,
,,,,
,,,,
,,,,
אִיבַּעְיָא,A,אִבַּעְיָא,,
לְהוּ,A,לְהוּ,,
